Region of Incident,Reported Year,Reported Month,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Location Description,Location Coordinates,Migration Route
US-Mexico Border,2019,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"26.378453484173, -98.956549230533",Unknown
North Africa,2019,Feb,3.0,Unknown,3,Unknown,Unknown,Unknown,Unknown,Weather conditions,Algeria,"34.667391957446, -1.812885234328",Unknown
Central America,2019,Feb,1.0,Unknown,1,4.0,Unknown,1.0,Unknown,Murdered,Mexico,"17.728169900000, -91.758994100000",Unknown
US-Mexico Border,2019,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,"Texas, USA","26.082034154560, -98.258656087878",Unknown
Horn of Africa,2019,Jan,52.0,18.0,70,16.0,3.0,2.0,Unknown,Drowning,Yemen,"11.903581356334, 43.332109915572",Horn Africa to Yemen
US-Mexico Border,2019,Jan,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","32.057499000000, -111.666072500000",Unknown
US-Mexico Border,2019,Jan,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","32.057499000000, -111.666072500000",Unknown
US-Mexico Border,2019,Jan,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","32.057499000000, -111.666072500000",Unknown
Central America,2019,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"17.871860612667, -94.963871768009",Unknown
South America,2019,Jan,19.0,5.0,24,8.0,Unknown,Unknown,10.0,Drowning,Colombia,"8.641338758453, -77.330689179762",Unknown
US-Mexico Border,2019,Jan,3.0,Unknown,3,Unknown,Unknown,3.0,Unknown,Drowning,Mexico,"27.345466202071, -99.506891221976",Central America to US
Central America,2019,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"25.286312500000, -101.281562500000",Unknown
US-Mexico Border,2019,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"26.143064684377, -98.330164834268",Unknown
US-Mexico Border,2019,Jan,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","31.691203800000, -110.461623900000",Unknown
US-Mexico Border,2019,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"26.217242152142, -98.455393500959",Unknown
Mediterranean,2019,Jan,1.0,Unknown,1,2.0,Unknown,1.0,Unknown,Drowning,Algeria,"35.384524413151, -1.278253990517",Western Mediterranean
US-Mexico Border,2019,Jan,2.0,Unknown,2,Unknown,1.0,1.0,1.0,Accident,Mexico,"31.667101100000, -106.426767800000",Unknown
Central America,2019,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"19.705606860591, -99.174764262762",Unknown
US-Mexico Border,2019,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","31.365435700000, -110.106236400000",Unknown
US-Mexico Border,2019,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"27.496386435717, -99.522521470236",Unknown
Mediterranean,2019,Jan,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Drowning,Algeria,"36.334378214124, 0.715927412066",Western Mediterranean
Mediterranean,2019,Jan,1.0,Unknown,1,106.0,Unknown,1.0,1.0,Unknown,Libya,"32.638272650604, 14.273579120636",Central Mediterranean
Central America,2019,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"17.932600658549, -94.905738830566",Unknown
Mediterranean,2019,Jan,1.0,Unknown,1,2.0,Unknown,1.0,Unknown,Drowning,Algeria,"35.398647116844, -1.389655987849",Western Mediterranean
Mediterranean,2019,Jan,Unknown,1.0,1,106.0,Unknown,1.0,Unknown,Drowning,Libya,"32.747691895753, 14.355331747358",Central Mediterranean
US-Mexico Border,2019,Jan,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","32.057499000000, -111.666072500000",Unknown
US-Mexico Border,2019,Jan,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","32.057499000000, -111.666072500000",Unknown
US-Mexico Border,2019,Jan,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","32.057499000000, -111.666072500000",Unknown
US-Mexico Border,2019,Jan,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","32.057499000000, -111.666072500000",Unknown
US-Mexico Border,2019,Jan,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","32.057499000000, -111.666072500000",Unknown
Mediterranean,2019,Jan,2.0,Unknown,2,141.0,Unknown,Unknown,Unknown,Drowning,Libya,"32.980238100921, 13.179283824044",Central Mediterranean
US-Mexico Border,2019,Jan,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","32.057499000000, -111.666072500000",Unknown
