Region of Incident,Reported Year,Reported Month,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Location Description,Location Coordinates,Migration Route
South Asia,2017,May,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Iran,"33.277107300000, 52.361337800000",Unknown
South Asia,2017,May,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Iran,"33.277107300000, 52.361337800000",Unknown
South Asia,2017,May,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Iran,"33.277107300000, 52.361337800000",Unknown
South Asia,2017,May,1.0,Unknown,1,Unknown,Unknown,1.0,1.0,Murdered,Iran,"33.277107300000, 52.361337800000",Unknown
South Asia,2017,May,9.0,Unknown,9,Unknown,Unknown,9.0,Unknown,Murdered,Iran,"27.406942000000, 62.706256000000",Unknown
Mediterranean,2017,May,11.0,Unknown,11,Unknown,11.0,Unknown,1.0,Drowning,Libya,"32.781230600000, 12.696461100000",Central Mediterranean
Mediterranean,2017,May,Unknown,82.0,82,50.0,Unknown,Unknown,Unknown,Drowning,Libya,"35.532153500000, 12.742396800000",Central Mediterranean
Mediterranean,2017,May,Unknown,102.0,102,7.0,30.0,Unknown,9.0,Drowning,Libya,"32.781230600000, 12.696461100000",Central Mediterranean
US-Mexico Border,2017,May,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"27.456537800000, -99.569848700000",Central America to US
Sub-Saharan Africa,2017,May,1.0,10.0,11,13.0,1.0,Unknown,Unknown,Drowning,France,"-12.575260100000, 44.757493000000",Unknown
US-Mexico Border,2017,May,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","31.591629600000, -112.676811500000",Central America to US
US-Mexico Border,2017,May,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"27.456537800000, -99.569848700000",Central America to US
Central America,2017,May,1.0,Unknown,1,3.0,Unknown,1.0,Unknown,Drowning,Mexico,"32.359477900000, -117.127442500000",Central America to US
Central America,2017,May,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"29.072967300000, -110.955919200000",Central America to US
US-Mexico Border,2017,May,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"26.052567600000, -98.366243400000",Central America to US
Mediterranean,2017,May,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Murdered,Libya,"30.375663591234, 19.036399787500",Central Mediterranean
Central America,2017,May,2.0,Unknown,2,7.0,Unknown,2.0,Unknown,Accident,Mexico,"20.466035100000, -97.258777000000",Central America to US
US-Mexico Border,2017,May,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","31.591629600000, -112.676811500000",Central America to US
Mediterranean,2017,May,19.0,Unknown,19,Unknown,Unknown,Unknown,Unknown,Drowning,Libya,"31.842978308005, 18.047630256250",Central Mediterranean
Central America,2017,May,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"26.717491777460, -108.443939387800",Central America to US
Mediterranean,2017,May,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Drowning,Libya,"33.105267400000, 11.709794500000",Central Mediterranean
Europe,2017,May,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,France,"48.880948100000, 2.353125000000",Unknown
US-Mexico Border,2017,May,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"27.456537800000, -99.569848700000",Central America to US
US-Mexico Border,2017,May,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"27.456537800000, -99.569848700000",Central America to US
Sub-Saharan Africa,2017,May,8.0,Unknown,8,Unknown,2.0,1.0,5.0,Dehydration,Niger,"18.739051100000, 7.373070500000",Unknown
Mediterranean,2017,May,6.0,Unknown,6,Unknown,Unknown,Unknown,Unknown,Drowning,Libya,"32.973902800000, 13.342174100000",Central Mediterranean
South Asia,2017,May,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Murdered,Iran,"34.345054000000, 46.394393000000",Unknown
North Africa,2017,Apr,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,Libya,"32.796705208137, 12.494154058008",Unknown
North Africa,2017,Apr,2.0,Unknown,2,Unknown,Unknown,Unknown,Unknown,Starvation,Libya,"32.784006062717, 12.522993169336",Unknown
North Africa,2017,Apr,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Dehydration,Libya,"20.340336627775, 9.228820020815",Unknown
North Africa,2017,Apr,6.0,Unknown,6,Unknown,Unknown,Unknown,Unknown,Murdered,Libya,"31.839592044499, 14.037196507812",Unknown
North Africa,2017,Apr,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Murdered,Libya,"32.801881754208, 12.449522100000",Unknown
Middle East,2017,Apr,2.0,Unknown,2,Unknown,2.0,Unknown,Unknown,Murdered,Turkey,"36.756915000000, 35.496817000000",Unknown
South Asia,2017,Apr,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Sickness and lack of access to medicines,Iran,"37.608409000000, 45.032599000000",Unknown
Central America,2017,Apr,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Accident,Mexico,"26.066918100000, -108.790470100000",Central America to US
Caribbean,2017,Apr,Unknown,8.0,8,Unknown,Unknown,Unknown,Unknown,Drowning,Puerto Rico,"18.475300200000, -68.269306100000",Unknown
North Africa,2017,Apr,15.0,Unknown,15,Unknown,Unknown,Unknown,Unknown,Murdered,Libya,"31.821468700000, 13.983536800000",Unknown
US-Mexico Border,2017,Apr,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","31.875343400000, -112.547046600000",Central America to US
Mediterranean,2017,Apr,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,Libya,"32.112545100000, 23.933578100000",Central Mediterranean
Mediterranean,2017,Apr,16.0,7.0,23,2.0,6.0,8.0,2.0,Drowning,"Lesvos, Greece","39.366085100000, 26.166767200000",Eastern Mediterranean
Europe,2017,Apr,1.0,Unknown,1,14.0,Unknown,1.0,Unknown,Accident,Greece,"41.137855200000, 24.877635500000",Unknown
US-Mexico Border,2017,Apr,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","31.875343400000, -112.547046600000",Central America to US
South Asia,2017,Apr,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Iran,"27.201200000000, 60.686581700000",Unknown
Mediterranean,2017,Apr,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Unknown,Italy,"35.099139200000, 13.048850200000",Central Mediterranean
Europe,2017,Apr,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Sickness and lack of access to medicines,Italy,"41.111268000000, 16.775534600000",Unknown
US-Mexico Border,2017,Apr,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","31.875343400000, -112.547046600000",Central America to US
US-Mexico Border,2017,Apr,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"26.563414300000, -99.237854400000",Central America to US
US-Mexico Border,2017,Apr,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"25.848764900000, -97.561323600000",Central America to US
South Asia,2017,Apr,3.0,Unknown,3,15.0,Unknown,Unknown,Unknown,Accident,Iran,"29.670600700000, 56.686023800000",Unknown
US-Mexico Border,2017,Apr,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,"Texas, USA","26.196888000000, -98.406651200000",Central America to US
US-Mexico Border,2017,Apr,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"27.456537800000, -99.569848700000",Central America to US
Mediterranean,2017,Apr,Unknown,30.0,30,Unknown,Unknown,Unknown,Unknown,Drowning,Italy,"35.099139200000, 13.048850200000",Central Mediterranean
Mediterranean,2017,Apr,4.0,Unknown,4,Unknown,Unknown,Unknown,Unknown,Accident,Italy,"35.099139200000, 13.048850200000",Central Mediterranean
Mediterranean,2017,Apr,Unknown,10.0,10,Unknown,Unknown,Unknown,Unknown,Drowning,Italy,"35.099139200000, 13.048850200000",Central Mediterranean
Mediterranean,2017,Apr,Unknown,7.0,7,Unknown,Unknown,Unknown,Unknown,Drowning,Italy,"35.099139200000, 13.048850200000",Central Mediterranean
Mediterranean,2017,Apr,Unknown,17.0,17,Unknown,Unknown,Unknown,Unknown,Drowning,Italy,"35.099139200000, 13.048850200000",Central Mediterranean
Mediterranean,2017,Apr,28.0,Unknown,28,Unknown,4.0,Unknown,Unknown,Starvation,Libya,"32.791284000000, 12.415264900000",Central Mediterranean
Mediterranean,2017,Apr,Unknown,35.0,35,Unknown,Unknown,Unknown,Unknown,Drowning,Italy,"35.099139200000, 13.048850200000",Central Mediterranean
US-Mexico Border,2017,Apr,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","31.875343400000, -112.547046600000",Central America to US
US-Mexico Border,2017,Apr,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Texas, USA","27.092771442727, -98.092803955078",Central America to US
South Asia,2017,Apr,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Iran,"33.277107300000, 52.361337800000",Unknown
Mediterranean,2017,Apr,13.0,20.0,33,Unknown,2.0,4.0,1.0,Drowning,Italy,"35.099139200000, 13.048850200000",Central Mediterranean
Mediterranean,2017,Apr,2.0,Unknown,2,Unknown,Unknown,Unknown,Unknown,Drowning,Italy,"34.422826311333, 13.154201256250",Central Mediterranean
Mediterranean,2017,Apr,7.0,Unknown,7,Unknown,Unknown,Unknown,Unknown,Drowning,Italy,"36.347854800000, 14.445509300000",Central Mediterranean
Mediterranean,2017,Apr,5.0,Unknown,5,101.0,Unknown,Unknown,Unknown,Drowning,Libya,"32.792138400000, 13.704410400000",Central Mediterranean
US-Mexico Border,2017,Apr,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Texas, USA","26.575812500000, -98.083812500000",Central America to US
Mediterranean,2017,Apr,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Spain,"35.913489558500, -5.380811969897",Western Mediterranean
US-Mexico Border,2017,Apr,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Texas, USA","26.243982475370, -98.557740288330",Central America to US
Southeast Asia,2017,Apr,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Murdered,Bangladesh,"21.086501400000, 92.472490200000",Unknown
Mediterranean,2017,Apr,Unknown,97.0,97,23.0,15.0,77.0,5.0,Drowning,Libya,"32.862970600000, 13.121579700000",Central Mediterranean
Mediterranean,2017,Apr,Unknown,5.0,5,6.0,Unknown,Unknown,Unknown,Drowning,Spain,"36.025882516454, -5.328865761719",Western Mediterranean
Mediterranean,2017,Apr,3.0,Unknown,3,32.0,1.0,1.0,1.0,Unknown,Spain,"35.939594400000, -3.036476200000",Western Mediterranean
US-Mexico Border,2017,Apr,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"26.052567600000, -98.366243400000",Central America to US
Central America,2017,Apr,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"17.947379500000, -93.680033900000",Central America to US
South Asia,2017,Apr,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Iran,"27.352603300000, 62.344781500000",Unknown
Mediterranean,2017,Apr,1.0,Unknown,1,148.0,Unknown,Unknown,Unknown,Unknown,Italy,"35.099139200000, 13.048850200000",Central Mediterranean
Mediterranean,2017,Apr,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,Libya,"32.791284000000, 12.415264900000",Central Mediterranean
US-Mexico Border,2017,Apr,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Texas, USA","27.080544773867, -98.190307617188",Central America to US
Europe,2017,Apr,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,Italy,"45.786324300000, 12.810688800000",Unknown
Central America,2017,Apr,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"19.980602700000, -99.184712800000",Central America to US
Central America,2017,Apr,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"26.068981988660, -108.785046610590",Central America to US
Central America,2017,Apr,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"26.071391300000, -108.784038100000",Central America to US
South Asia,2017,Apr,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Iran,"29.485008900000, 57.643904800000",Unknown
US-Mexico Border,2017,Apr,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"27.453141600000, -99.614852500000",Central America to US
Mediterranean,2017,Apr,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Greece,"39.147213500000, 26.528026000000",Eastern Mediterranean
North Africa,2017,Mar,3.0,Unknown,3,Unknown,Unknown,Unknown,Unknown,Dehydration,Libya,"25.202498702471, 13.572090006250",Unknown
North Africa,2017,Mar,5.0,Unknown,5,Unknown,Unknown,Unknown,Unknown,Murdered,Libya,"25.524923544288, 14.020323187500",Unknown
Mediterranean,2017,Mar,3.0,Unknown,3,Unknown,1.0,2.0,Unknown,Drowning,Libya,"32.791284000000, 12.415264900000",Central Mediterranean
Mediterranean,2017,Mar,1.0,5.0,6,141.0,Unknown,Unknown,Unknown,Drowning,Libya,"32.791284000000, 12.415264900000",Central Mediterranean
Mediterranean,2017,Mar,4.0,Unknown,4,85.0,Unknown,Unknown,Unknown,Drowning,Libya,"32.781230600000, 12.696461100000",Central Mediterranean
Middle East,2017,Mar,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Drowning,Turkey,"37.158533200000, 42.372409300000",Unknown
Mediterranean,2017,Mar,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,Italy,"35.265509900000, 13.259102500000",Central Mediterranean
Mediterranean,2017,Mar,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Unknown,Libya,"30.509284612352, 17.722392637500",Central Mediterranean
Middle East,2017,Mar,3.0,Unknown,3,2.0,3.0,Unknown,Unknown,Drowning,Turkey,"36.972885200000, 44.265180600000",Unknown
Mediterranean,2017,Mar,1.0,Unknown,1,Unknown,1.0,Unknown,1.0,Drowning,Libya,"32.771957900000, 12.483225900000",Central Mediterranean
US-Mexico Border,2017,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"26.052567600000, -98.366243400000",Central America to US
Middle East,2017,Mar,1.0,Unknown,1,Unknown,1.0,Unknown,1.0,Drowning,Turkey,"37.248156122630, 43.567378433594",Unknown
Mediterranean,2017,Mar,11.0,Unknown,11,9.0,2.0,Unknown,5.0,Drowning,Greece,"37.747294000000, 27.240156300000",Eastern Mediterranean
Mediterranean,2017,Mar,3.0,1.0,4,3.0,Unknown,Unknown,Unknown,Drowning,Spain,"36.248835565283, -6.346569366992",Western Mediterranean
Mediterranean,2017,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,Italy,"35.265509900000, 13.259102500000",Central Mediterranean
Central America,2017,Mar,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,Mexico,"20.462834400000, -103.453062900000",Central America to US
US-Mexico Border,2017,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","31.875343400000, -112.547046600000",Central America to US
Mediterranean,2017,Mar,5.0,Unknown,5,Unknown,Unknown,5.0,Unknown,Weather conditions,Libya,"32.893867600000, 12.205049500000",Central Mediterranean
Mediterranean,2017,Mar,Unknown,130.0,130,Unknown,Unknown,Unknown,Unknown,Drowning,Libya,"32.815891800000, 12.398003600000",Central Mediterranean
Central America,2017,Mar,1.0,Unknown,1,1.0,Unknown,1.0,Unknown,Murdered,Mexico,"17.827772000000, -93.408720500000",Central America to US
Mediterranean,2017,Mar,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,Italy,"35.265509900000, 13.259102500000",Central Mediterranean
Europe,2017,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,Italy,"43.794087000000, 7.515889500000",Unknown
US-Mexico Border,2017,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","31.725322100000, -112.005521300000",Central America to US
Mediterranean,2017,Mar,2.0,66.0,68,54.0,Unknown,2.0,Unknown,Drowning,Libya,"32.893867600000, 12.205049500000",Central Mediterranean
South Asia,2017,Mar,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Unknown,Afghanistan,"31.338781000000, 61.851076000000",Unknown
Mediterranean,2017,Mar,10.0,Unknown,10,Unknown,1.0,9.0,Unknown,Murdered,Libya,"32.785733400000, 12.703041200000",Central Mediterranean
Central America,2017,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Murdered,Mexico,"17.833638600000, -93.936273700000",Central America to US
Central America,2017,Mar,2.0,Unknown,2,Unknown,Unknown,2.0,Unknown,Murdered,Mexico,"18.134625300000, -94.497966400000",Central America to US
Central America,2017,Mar,1.0,Unknown,1,8.0,Unknown,Unknown,1.0,Accident,Mexico,"16.121434600000, -92.061876200000",Central America to US
Horn of Africa,2017,Mar,2.0,Unknown,2,Unknown,1.0,1.0,Unknown,Murdered,Yemen,"13.219505321076, 45.833201459375",Unknown
Mediterranean,2017,Mar,3.0,Unknown,3,215.0,Unknown,Unknown,Unknown,Drowning,Libya,"33.010693000000, 12.047669600000",Central Mediterranean
South Asia,2017,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Iran,"27.352603300000, 62.344781500000",Unknown
Mediterranean,2017,Mar,Unknown,10.0,10,117.0,Unknown,Unknown,Unknown,Drowning,Italy,"33.433576577011, 12.526182562500",Central Mediterranean
Mediterranean,2017,Mar,Unknown,8.0,8,Unknown,Unknown,Unknown,Unknown,Drowning,Italy,"35.099139200000, 13.048850200000",Central Mediterranean
Horn of Africa,2017,Mar,42.0,Unknown,42,115.0,Unknown,Unknown,Unknown,Murdered,"Sahara desert, Sudan","18.812277200000, 37.969192700000",Unknown
Central America,2017,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Murdered,Mexico,"25.430372300000, -101.053785100000",Central America to US
US-Mexico Border,2017,Mar,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Texas, USA","27.029752301332, -98.296828905859",Central America to US
Central America,2017,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"16.320638200000, -95.257700100000",Central America to US
US-Mexico Border,2017,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","31.875343400000, -112.547046600000",Central America to US
US-Mexico Border,2017,Mar,2.0,Unknown,2,Unknown,Unknown,2.0,Unknown,Drowning,Mexico,"26.052567600000, -98.366243400000",Central America to US
Mediterranean,2017,Mar,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,Libya,"32.791284000000, 12.415264900000",Central Mediterranean
Europe,2017,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,France,"50.994751460549, 2.277857761719",Unknown
US-Mexico Border,2017,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","31.875343400000, -112.547046600000",Central America to US
US-Mexico Border,2017,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","31.875343400000, -112.547046600000",Central America to US
Mediterranean,2017,Mar,11.0,Unknown,11,Unknown,Unknown,Unknown,Unknown,Drowning,Libya,"32.791284000000, 12.415264900000",Central Mediterranean
Mediterranean,2017,Mar,3.0,Unknown,3,Unknown,Unknown,Unknown,Unknown,Drowning,Libya,"32.656753600000, 14.266525000000",Central Mediterranean
South Asia,2017,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Iran,"29.451926000000, 60.884198300000",Unknown
US-Mexico Border,2017,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","31.875343400000, -112.547046600000",Central America to US
US-Mexico Border,2017,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"26.052567600000, -98.366243400000",Central America to US
North Africa,2017,Mar,22.0,Unknown,22,Unknown,Unknown,Unknown,Unknown,Murdered,Libya,"32.795960600000, 12.402254700000",Unknown
Mediterranean,2017,Mar,Unknown,6.0,6,178.0,Unknown,Unknown,Unknown,Drowning,Italy,"35.099139200000, 13.048850200000",Central Mediterranean
Mediterranean,2017,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,1.0,Sickness and lack of access to medicines,Italy,"37.207444300000, 15.923595400000",Central Mediterranean
Mediterranean,2017,Mar,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,Italy,"35.099139200000, 13.048850200000",Central Mediterranean
Mediterranean,2017,Mar,Unknown,25.0,25,115.0,Unknown,Unknown,Unknown,Drowning,Libya,"32.936246200000, 13.403390100000",Central Mediterranean
Mediterranean,2017,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Spain,"36.051743056922, -5.803197855078",Western Mediterranean
Mediterranean,2017,Mar,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Spain,"36.075576792542, -5.413881649121",Western Mediterranean
US-Mexico Border,2017,Mar,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Texas, USA","27.027305700000, -98.221297900000",Central America to US
US-Mexico Border,2017,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"27.456537800000, -99.569848700000",Central America to US
US-Mexico Border,2017,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","31.875343400000, -112.547046600000",Central America to US
North Africa,2017,Feb,2.0,Unknown,2,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,Libya,"32.797264361779, 12.404203496484",Unknown
North Africa,2017,Feb,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Murdered,Libya,"30.190230102487, 15.322203070313",Unknown
North Africa,2017,Feb,5.0,Unknown,5,Unknown,Unknown,Unknown,Unknown,Dehydration,Libya,"25.110004841907, 12.716952176860",Unknown
Middle East,2017,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Murdered,Syria,"36.067868700000, 36.313740600000",Unknown
US-Mexico Border,2017,Feb,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Texas, USA","27.114586465508, -98.225195569922",Central America to US
Mediterranean,2017,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Libya,"32.775910100000, 12.697316400000",Central Mediterranean
Mediterranean,2017,Feb,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Drowning,Spain,"36.486584900000, -6.303310700000",Western Mediterranean
North Africa,2017,Feb,12.0,Unknown,12,Unknown,Unknown,Unknown,Unknown,Starvation,Libya,"31.760201600000, 13.977697100000",Unknown
US-Mexico Border,2017,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","31.875343400000, -112.547046600000",Central America to US
Central America,2017,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"15.122140000000, -92.713731600000",Central America to US
US-Mexico Border,2017,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,"Arizona, USA","31.875343400000, -112.547046600000",Central America to US
North Africa,2017,Feb,7.0,Unknown,7,Unknown,Unknown,Unknown,Unknown,Murdered,Libya,"32.862970600000, 13.121579700000",Unknown
Mediterranean,2017,Feb,14.0,Unknown,14,400.0,Unknown,Unknown,Unknown,Drowning,Libya,"33.010693000000, 12.047669600000",Central Mediterranean
US-Mexico Border,2017,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"28.691051700000, -100.580182900000",Central America to US
US-Mexico Border,2017,Feb,2.0,Unknown,2,1.0,Unknown,Unknown,Unknown,Accident,Mexico,"32.189093600000, -108.375117600000",Central America to US
Mediterranean,2017,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Spain,"35.893784113931, -5.310254017664",Western Mediterranean
US-Mexico Border,2017,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","31.875343400000, -112.547046600000",Central America to US
Central America,2017,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"20.478505200000, -100.978110000000",Central America to US
Europe,2017,Feb,3.0,Unknown,3,5.0,Unknown,Unknown,Unknown,Drowning,Greece,"40.944391500000, 26.285170200000",Unknown
North Africa,2017,Feb,13.0,Unknown,13,Unknown,Unknown,Unknown,2.0,Suffocation,Libya,"32.677012000000, 14.245194200000",Unknown
Horn of Africa,2017,Feb,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Murdered,Somalia,"9.520638100000, 45.528888500000",Unknown
Mediterranean,2017,Feb,74.0,Unknown,74,Unknown,Unknown,74.0,Unknown,Drowning,Libya,"32.781230600000, 12.696461100000",Central Mediterranean
US-Mexico Border,2017,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","31.875343400000, -112.547046600000",Central America to US
US-Mexico Border,2017,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","31.875343400000, -112.547046600000",Central America to US
South Asia,2017,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Iran,"33.277107300000, 52.361337800000",Unknown
South Asia,2017,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Iran,"33.277107300000, 52.361337800000",Unknown
Mediterranean,2017,Feb,6.0,Unknown,6,Unknown,Unknown,Unknown,Unknown,Drowning,Libya,"32.781230600000, 12.696461100000",Central Mediterranean
Mediterranean,2017,Feb,Unknown,118.0,118,Unknown,Unknown,Unknown,Unknown,Drowning,Libya,"32.749201632784, 14.339309423828",Central Mediterranean
North Africa,2017,Feb,2.0,Unknown,2,Unknown,Unknown,Unknown,Unknown,Suffocation,"Sahara desert, Sudan","18.904759400000, 27.846891900000",Unknown
US-Mexico Border,2017,Feb,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Texas, USA","27.240319400000, -98.204450400000",Central America to US
North Africa,2017,Feb,3.0,Unknown,3,Unknown,Unknown,Unknown,Unknown,Murdered,"Sahara desert, Sudan","18.542712500000, 31.668154600000",Unknown
Central America,2017,Feb,2.0,Unknown,2,Unknown,Unknown,2.0,Unknown,Accident,Mexico,"27.914793400000, -110.942935600000",Central America to US
North Africa,2017,Feb,3.0,Unknown,3,Unknown,Unknown,Unknown,Unknown,Accident,"Sahara desert, Sudan","24.072132200000, 32.719902700000",Unknown
US-Mexico Border,2017,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Unknown,"Arizona, USA","31.875343400000, -112.547046600000",Central America to US
US-Mexico Border,2017,Feb,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","31.875343400000, -112.547046600000",Central America to US
Middle East,2017,Feb,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Weather conditions,Turkey,"38.415615800000, 40.892785500000",Unknown
Horn of Africa,2017,Feb,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Sickness and lack of access to medicines,Ethiopia,"9.605039000000, 41.820618900000",Unknown
