index,Region of Incident,Reported Year,Reported Month,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Location Description,Location Coordinates,Migration Route,latitud,longitud,temperatureMax,temperatureMin,uvIndex
68,US-Mexico Border,2019,Feb,1.0,Unknown,1,Unknown,1.0,Unknown,Unknown,Unknown,"Texas, USA","27.025620837846, -98.163042452485",Unknown,27.025620837846,-98.163042452485,62.14,51.02,3
69,Mediterranean,2019,Feb,Unknown,3.0,3,9.0,Unknown,Unknown,Unknown,Drowning,Morocco,"35.876466418300, -5.812712909613",Western Mediterranean,35.8764664183,-5.812712909613,68.51,54.48,3
70,Mediterranean,2019,Feb,2.0,3.0,5,13.0,Unknown,Unknown,Unknown,Drowning,Algeria,"35.850585778575, -0.543309022656",Western Mediterranean,35.850585778575,-0.543309022656,33.17,23.77,2
72,Europe,2019,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Weather conditions,France,"44.920683173838, 6.673599624343",Italy to France,44.920683173838,6.673599624343,60.4,53.47,4
73,US-Mexico Border,2019,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"26.365378242149, -98.813139596667",Unknown,26.365378242149,-98.813139596667,79.58,39.59,7
74,Central America,2019,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Murdered,Mexico,"25.463711663602, -100.979898450230",Unknown,25.463711663602,-100.97989845023,62.0,51.67,3
75,Mediterranean,2019,Feb,1.0,2.0,3,42.0,Unknown,Unknown,Unknown,Drowning,Morocco,"35.866177998708, -5.878967760331",Western Mediterranean,35.866177998708,-5.878967760331,71.31,61.19,3
76,Mediterranean,2019,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,1.0,Drowning,Algeria,"36.902592327412, 8.477123270827",Central Mediterranean,36.902592327412,8.477123270827,66.21,50.42,4
77,North Africa,2019,Feb,3.0,Unknown,3,25.0,2.0,1.0,Unknown,Accident,Morocco,"34.960378300119, -3.380756396653",Unknown,34.960378300119,-3.380756396653,67.96,48.93,3
79,North Africa,2019,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Weather conditions,Algeria,"34.705746117811, -1.775936609354",Unknown,34.705746117811,-1.775936609354,60.38,51.64,4
80,US-Mexico Border,2019,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,Mexico,"26.378453484173, -98.956549230533",Unknown,26.378453484173,-98.956549230533,67.83,48.94,3
81,North Africa,2019,Feb,3.0,Unknown,3,Unknown,Unknown,Unknown,Unknown,Weather conditions,Algeria,"34.667391957446, -1.812885234328",Unknown,34.667391957446,-1.812885234328,84.29,62.58,9
82,Central America,2019,Feb,1.0,Unknown,1,4.0,Unknown,1.0,Unknown,Murdered,Mexico,"17.728169900000, -91.758994100000",Unknown,17.7281699,-91.7589941,84.28,73.35,9
85,US-Mexico Border,2019,Feb,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Drowning,"Texas, USA","26.082034154560, -98.258656087878",Unknown,26.08203415456,-98.258656087878,51.15,30.72,3
86,Horn of Africa,2019,Jan,52.0,18.0,70,16.0,3.0,2.0,Unknown,Drowning,Yemen,"11.903581356334, 43.332109915572",Horn Africa to Yemen,11.903581356334,43.332109915572,51.15,30.72,3
87,US-Mexico Border,2019,Jan,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","32.057499000000, -111.666072500000",Unknown,32.057499,-111.6660725,51.15,30.72,3
88,US-Mexico Border,2019,Jan,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","32.057499000000, -111.666072500000",Unknown,32.057499,-111.6660725,85.3,65.48,6
89,US-Mexico Border,2019,Jan,1.0,Unknown,1,Unknown,Unknown,Unknown,Unknown,Unknown,"Arizona, USA","32.057499000000, -111.666072500000",Unknown,32.057499,-111.6660725,85.5,79.53,9
90,Central America,2019,Jan,1.0,Unknown,1,Unknown,Unknown,1.0,Unknown,Accident,Mexico,"17.871860612667, -94.963871768009",Unknown,17.871860612667,-94.963871768009,61.82,39.96,5
